Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker
2020-01-02 00:00:00+08:00,1.0745013840891982,1.0820154624656486,1.06698739528656,1.06698739528656,1123600,,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-03 00:00:00+08:00,1.074501093569027,1.0895291566848757,1.074501093569027,1.0895291566848757,1389800,2.112654891509913,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-06 00:00:00+08:00,1.0895291566848757,1.0895291566848757,1.074501093569027,1.0895291566848757,929400,0.0,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-07 00:00:00+08:00,1.0820154180539712,1.1045573835366431,1.0820154180539712,1.0970433950424194,2550300,0.6896775833340252,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-08 00:00:00+08:00,1.0895294065481953,1.0970433950424194,1.0820154180539712,1.0970433950424194,1798200,0.0,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-09 00:00:00+08:00,1.0895291826624334,1.112071143512991,1.0895291826624334,1.1045571565628052,1934600,0.6849101461565477,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-10 00:00:00+08:00,1.1045571302269366,1.1045571302269366,1.0895291566848757,1.0895291566848757,1398600,-1.3605452455438427,,,,,,,,,,,,,-0.0136054524554383,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-13 00:00:00+08:00,1.0895294065481953,1.1045573835366431,1.0895294065481953,1.0970433950424194,1109300,0.6896775833340252,,,,,,,,,,,,,-0.0068025103777945,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-14 00:00:00+08:00,1.1045571565628052,1.1045571565628052,1.0970431696126193,1.1045571565628052,884700,0.6849101461565477,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-15 00:00:00+08:00,1.0970431696126193,1.112071143512991,1.0970431696126193,1.1045571565628052,2195500,0.0,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-16 00:00:00+08:00,1.1045571565628052,1.112071143512991,1.1045571565628052,1.1045571565628052,1149400,0.0,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-17 00:00:00+08:00,1.104557169463822,1.11207115650177,1.104557169463822,1.11207115650177,746800,0.6802726227719269,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
2020-01-20 00:00:00+08:00,1.11207115650177,1.11207115650177,1.104557169463822,1.11207115650177,655000,0.0,,,,,,,,,,,,,0.0,,1776001152,20.599998,0.05,-0.031,0.03672,5.77,1.3778,278.289,0.13003999,Communication Services,Telecom Services,CC3.SI
