Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker
2020-01-02 00:00:00+08:00,4.112687954492195,4.141198762436197,4.077049274624372,4.119815826416016,855500,,,,,,,,,,,,,,0.0,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-03 00:00:00+08:00,4.134071230388017,4.162582038332019,4.098432550520194,4.119815826416016,1389500,0.0,,,,,,,,,,,,,0.0,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-06 00:00:00+08:00,4.084177246829547,4.1269434597956165,4.062793970408689,4.091304779052734,1850600,-0.6920466487960519,,,,,,,,,,,,,-0.0069204664879604,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-07 00:00:00+08:00,4.077049141659509,4.112687820365046,4.005772124124061,4.02715539932251,1524200,-1.5679442914804609,,,,,,,,,,,,,-0.0224914003435232,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-08 00:00:00+08:00,3.991516258371566,4.205347626090375,3.984388727381254,4.084176540374756,1926100,1.4159160846348051,,,,,,,,,,,,,-0.0086506988522988,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-09 00:00:00+08:00,4.141198134752245,4.176836809218292,4.048537853040994,4.062793254852295,2261100,-0.5235641826711768,,,,,,,,,,,,,-0.0138410487182692,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-10 00:00:00+08:00,4.05566583609663,4.07704876946741,4.020027160644531,4.020027160644531,1447000,-1.052627872626477,,,,,,,,,,,,,-0.0242216327078616,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-13 00:00:00+08:00,4.034283638000488,4.062794450010156,4.034283638000488,4.034283638000488,907800,0.3546363441403022,,,,,,,,,,,,,-0.0207611679791848,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-14 00:00:00+08:00,4.062792915727977,4.098431587219238,4.041409984733669,4.098431587219238,2014300,1.590070381133235,,,,,,,,,,,,,-0.0051905813506669,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-15 00:00:00+08:00,4.105560176679508,4.148326386035468,4.098432305182372,4.126943111419678,5995200,0.6956691503489099,,,,,,,,,,,,,0.0,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-16 00:00:00+08:00,4.134071103272297,4.148326506805969,4.084177020966632,4.141198635101318,1876500,0.3454257375681724,,,,,,,,,,,,,0.0,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-17 00:00:00+08:00,4.141199001444093,4.169709811033588,4.126943596649347,4.148326873779297,2850900,0.1721298422528772,,,,,,,,,,,,,0.0,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-20 00:00:00+08:00,4.148326386035468,4.16258178915412,4.091304433685235,4.126943111419678,876800,-0.5154792042734502,,,,,,,,,,,,,-0.0051547920427344,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-21 00:00:00+08:00,4.119815077957136,4.119815077957136,4.034282329788474,4.048537731170654,1527500,-1.8998415566249929,,,,,,40.45883904132276,,,,,,,-0.0240552747275989,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-22 00:00:00+08:00,3.9915168371385454,4.020027644985021,3.970133901191508,3.984389305114746,3433600,-1.5844838387453877,,,,,,32.88962404728896,,,,,,,-0.0395189611746281,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-23 00:00:00+08:00,3.998644348288817,4.012899750925962,3.963005671758149,3.9701335430145264,2466100,-0.3577903916647806,,,,,,31.48013058057772,,,,,,,-0.0429554700453074,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-24 00:00:00+08:00,3.977261074395295,3.991516477032441,3.948750269121004,3.9701335430145264,1379000,0.0,,,,,,31.48013058057772,,,,,,,-0.0429554700453074,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-28 00:00:00+08:00,3.9131121635437016,3.92024003584009,3.877473821688732,3.913112163543701,3010900,-1.436258474759733,,,,,,26.259657482148825,,,,,,,-0.0567011032140062,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-29 00:00:00+08:00,3.898856758826582,3.9416233128535993,3.884601354109463,3.913112163543701,1017300,0.0,,,,,,26.259657482148825,,,,,,,-0.0567011032140062,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-30 00:00:00+08:00,3.891728995426604,3.9131119312953486,3.834707379942434,3.848962783813477,5961600,-1.639344262295073,,,,,,21.58854063690049,,,,,,,-0.0721650195547601,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-01-31 00:00:00+08:00,3.834707609513889,3.863218418962824,3.7990689277648926,3.7990689277648926,4123000,-1.296293543247784,,,,,,18.78906812975856,,,,,,,-0.0841924844982661,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-02-03 00:00:00+08:00,3.77768611126458,3.7990690490963615,3.756302833557129,3.756302833557129,1576200,-1.1256993495225798,-0.0882352532674064,,,,,16.780465084611578,,,,,,,-0.094501723743148,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-02-04 00:00:00+08:00,3.791941049854885,3.841834791906848,3.777685646429235,3.834707260131836,2033200,2.0872765069492427,-0.0692042019102117,,,,,31.28396028402851,,,,,,,-0.0756014709520083,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-02-05 00:00:00+08:00,3.834706909553857,3.898856049166804,3.8275790385548656,3.877473115921021,1738700,1.1152313041938644,-0.0522649068401162,,,,,37.66538886850919,,,,,,,-0.0652922891805575,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
2020-02-06 00:00:00+08:00,3.9059847586206615,3.93449556898554,3.884601480909169,3.9202401638031006,1493200,1.1029618156854992,-0.0265485745937182,,,,,43.33284289401725,,,,,,,-0.054982820041951,,17251215360,13.827587,0.58,-0.323,0.87233,3.12,0.3987,19.919,0.04164,Real Estate,Real Estate - Development,H78.SI
