Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker
2020-01-02 00:00:00+08:00,1.8384035225819413,1.859615683555603,1.8384035225819413,1.859615683555603,3391373,,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-03 00:00:00+08:00,1.8596162146275168,1.8596162146275168,1.8313328178084016,1.8454746007919312,4800599,-0.7604303883173347,,,,,,,,,,,,,-0.0076043038831733,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-06 00:00:00+08:00,1.8384038350019825,1.8737576117807,1.8384038350019825,1.8666870594024656,6331333,1.149431078673846,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-07 00:00:00+08:00,1.8666869557737795,1.894970178604126,1.8596158963443208,1.894970178604126,6846360,1.5151505475542226,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-08 00:00:00+08:00,1.8878991191746672,1.9091111134276404,1.873757507759494,1.894970178604126,5816607,0.0,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-09 00:00:00+08:00,1.8949705345676364,1.9373947001907268,1.8949705345676364,1.9303243160247805,15391819,1.8656830497827184,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-10 00:00:00+08:00,1.9303244265863253,1.9303244265863253,1.90204119682312,1.90204119682312,7091081,-1.4652003793800603,,,,,,,,,,,,,-0.0146520037938005,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-13 00:00:00+08:00,1.90204119682312,1.9161828117047228,1.90204119682312,1.90204119682312,5877812,0.0,,,,,,,,,,,,,-0.0146520037938005,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-14 00:00:00+08:00,1.9161826328042872,1.9656778573989868,1.9161826328042872,1.9656778573989868,9649561,3.345703588447813,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-15 00:00:00+08:00,1.9586070663096504,1.9868902875523984,1.9586070663096504,1.979819059371948,7591058,0.7194058741483156,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-16 00:00:00+08:00,1.9868902875523984,1.993960839141228,1.9515358381292005,1.979819059371948,6972784,0.0,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-17 00:00:00+08:00,1.979819550947926,2.0010317184249686,1.9727491667514727,1.993961334228516,4570829,0.7143215835619943,,,,,,,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-20 00:00:00+08:00,1.9939609194734853,2.001031302199259,1.972748756408692,1.972748756408692,3137121,-1.0638409810505125,,,,,,,,,,,,,-0.0106384098105048,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-21 00:00:00+08:00,1.972749087049488,1.979819470960287,1.944465859926888,1.9656778573989868,2563998,-0.3584287652816487,,,,,,68.81612664672025,,,,,,,-0.0141845663423922,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-22 00:00:00+08:00,1.9586073160171509,1.9798193117838163,1.9444657035928288,1.9586073160171509,6177517,-0.3596999048049443,,,,,,65.6610249641729,,,,,,,-0.017730543518811,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-23 00:00:00+08:00,1.95860723974404,2.0010313987731934,1.951536010937433,2.0010313987731934,7465637,2.1660330995961097,,,,,,73.50911642988984,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-24 00:00:00+08:00,2.0222445624938,2.0222445624938,1.979819550947926,1.993961334228516,1394376,-0.3533210198006786,,,,,,70.61273751563797,,,,,,,-0.0035332101980068,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-28 00:00:00+08:00,1.9798192346846564,2.0010313987731934,1.944465627870428,2.0010313987731934,5706136,0.3545738035794388,,,,,,71.80895470084104,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-29 00:00:00+08:00,2.003607405017388,2.010763596931921,1.960672821234496,1.98214054107666,5256528,-0.9440560357081408,,,,,,64.27992131372933,,,,,,,-0.0094405603570814,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-30 00:00:00+08:00,1.98214054107666,1.989295877089757,1.9678290131490288,1.98214054107666,3738236,0.0,,,,,,64.27992131372933,,,,,,,-0.0094405603570814,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-01-31 00:00:00+08:00,1.9821400292607176,2.0107630777251124,1.9821400292607176,1.9892953634262085,4636348,0.360964432202282,,,,,,65.85258201291484,,,,,,,-0.0058649931001482,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-03 00:00:00+08:00,1.9606723149618133,1.9892953634262085,1.9606723149618133,1.9892953634262085,2819355,0.0,0.0697346666934195,,,,,65.85258201291485,,,,,,,-0.0058649931001482,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-04 00:00:00+08:00,2.0036072355704424,2.0393857955932617,1.9964519001624788,2.0393857955932617,6474011,2.5179987390500536,0.105073889783213,,,,,74.84493522790791,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-05 00:00:00+08:00,2.046542428325707,2.0680092950811964,2.046542428325707,2.060853958129883,4141890,1.052677849527539,0.1040168451103802,,,,,77.5710783920249,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-06 00:00:00+08:00,2.0608538899794167,2.0751654193103244,2.010763794091697,2.0179193019866943,12003255,-2.0833429741013543,0.0648818249335909,,,,,62.89151678505223,,,,,,,-0.0208334297410134,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-07 00:00:00+08:00,2.0179185830708466,2.0179185830708466,1.9749838391940109,1.9892953634262085,8459972,-1.4184877726430845,0.0497766064538094,,,,,55.36865144109974,,,,,,,-0.0347227878139458,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-10 00:00:00+08:00,1.9892964950333447,1.9964526891708376,1.9749849626600624,1.9964526891708367,5360276,0.3597920085784301,0.0342576491406572,,,,,56.76138819666136,,,,,,,-0.0312497975438719,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-11 00:00:00+08:00,1.9964523536227847,2.0322309217721,1.9964523536227847,2.0107638835906982,6509932,0.7168311324123877,0.0571610577884287,,,,,59.48388045433493,,,,,,,-0.0243054944973581,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-12 00:00:00+08:00,2.0107636044806108,2.053697503703533,1.9964520764992524,2.046542167663574,7911533,1.7793379105748297,0.075971525265492,,,,,65.35665165639858,,,,,,,-0.006944592269554,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-13 00:00:00+08:00,2.039385975722176,2.068009031684892,2.0322306396822163,2.046542167663574,7047535,0.0,0.0411381295059141,,,,,65.35665165639858,,,,,,,-0.006944592269554,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-14 00:00:00+08:00,2.05369776527702,2.075165487934059,2.046542428325707,2.060853958129883,8295721,0.6993156892851848,0.0409304569396564,,,,,67.53945623591804,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
2020-02-17 00:00:00+08:00,2.075165376598992,2.103788434671684,2.068009184130068,2.096632242202759,6515551,1.7360902227804065,0.0590019488285293,,,,,72.24719264850955,,,,,,,0.0,,5708374016,16.666668,0.12,-0.081,0.49268,6.49,1.1496,52.571,0.06513,Real Estate,REIT - Industrial,ME8U.SI
