Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker
2020-01-02 00:00:00+08:00,0.2939902544021606,0.2939902544021606,0.2939902544021606,0.2939902544021606,1680,,,,,,,,,,,,,,0.0,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-03 00:00:00+08:00,0.2939902544021606,0.2939902544021606,0.2909275960372025,0.2939902544021606,209880,0.0,,,,,,,,,,,,,0.0,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-06 00:00:00+08:00,0.2939902544021606,0.2939902544021606,0.2939902544021606,0.2939902544021606,0,0.0,,,,,,,,,,,,,0.0,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-07 00:00:00+08:00,0.2939902021168819,0.2970521152019501,0.2939902021168819,0.2970521152019501,760440,1.041483775037344,,,,,,,,,,,,,0.0,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-08 00:00:00+08:00,0.2939902784079138,0.2939902784079138,0.2817404324911201,0.2878649830818176,390120,-3.092767783823591,,,,,,,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-09 00:00:00+08:00,0.2909276197928745,0.2909276197928745,0.2878649830818176,0.2878649830818176,100800,0.0,,,,,,,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-10 00:00:00+08:00,0.2878649830818176,0.2878649830818176,0.2878649830818176,0.2878649830818176,0,0.0,,,,,,,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-13 00:00:00+08:00,0.2878649830818176,0.2878649830818176,0.2878649830818176,0.2878649830818176,0,0.0,,,,,,,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-14 00:00:00+08:00,0.2878649083803114,0.2970521152019501,0.2878649083803114,0.2970521152019501,398640,3.191472620871449,,,,,,,,,,,,,0.0,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-15 00:00:00+08:00,0.2939902544021606,0.2939902544021606,0.2939902544021606,0.2939902544021606,9360,-1.0307486946214417,,,,,,,,,,,,,-0.0103074869462144,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-16 00:00:00+08:00,0.2939902544021606,0.2939902544021606,0.2939902544021606,0.2939902544021606,30000,0.0,,,,,,,,,,,,,-0.0103074869462144,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-17 00:00:00+08:00,0.2939902544021606,0.2939902544021606,0.2939902544021606,0.2939902544021606,0,0.0,,,,,,,,,,,,,-0.0103074869462144,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-20 00:00:00+08:00,0.2939902784079138,0.2939902784079138,0.2878649830818176,0.2878649830818176,69720,-2.0834946834543566,,,,,,,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-21 00:00:00+08:00,0.2878649830818176,0.2878649830818176,0.2878649830818176,0.2878649830818176,12000,0.0,,,,,,38.09201070552797,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-22 00:00:00+08:00,0.2878649830818176,0.2878649830818176,0.2878649830818176,0.2878649830818176,0,0.0,,,,,,38.09201070552797,,,,,,,-0.0309276778382358,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-23 00:00:00+08:00,0.2878649525534059,0.2909275889396667,0.2878649525534059,0.2909275889396667,46800,1.06390357905346,,,,,,47.24149029295897,,,,,,,-0.0206176827191405,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-24 00:00:00+08:00,0.2909275889396667,0.2909275889396667,0.2909275889396667,0.2909275889396667,0,0.0,,,,,,47.24149029295896,,,,,,,-0.0206176827191405,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-28 00:00:00+08:00,0.2878649165885693,0.2878649165885693,0.2725531822329392,0.2817403674125671,284520,-3.1579065981964582,,,,,,31.19946279863268,,,,,,,-0.0515456615381221,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-29 00:00:00+08:00,0.2786777244438099,0.2786777244438099,0.2756158113479614,0.2756158113479614,51600,-2.173829799702487,,,,,,25.08424634938811,,,,,,,-0.0721634445841775,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-30 00:00:00+08:00,0.2725531754208816,0.2756158113479614,0.2694905175898251,0.2756158113479614,118320,0.0,,,,,,25.08424634938811,,,,,,,-0.0721634445841775,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-01-31 00:00:00+08:00,0.2756159070008724,0.2786778211593628,0.2756159070008724,0.2786778211593628,152520,1.1109703018944872,,,,,,32.72948109913078,,,,,,,-0.061855456003387,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-03 00:00:00+08:00,0.2725532650947571,0.2756159020294877,0.2694906062560425,0.2725532650947571,148200,-2.1977192297277792,-0.0729173467025169,,,,,26.83136675388066,,,,,,,-0.0824732390494426,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-04 00:00:00+08:00,0.2694906062560425,0.2756159020294877,0.2694906062560425,0.2725532650947571,42000,0.0,-0.0729173467025169,,,,,26.83136675388066,,,,,,,-0.0824732390494426,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-05 00:00:00+08:00,0.2694905175898251,0.2756158113479614,0.2694905175898251,0.2756158113479614,119040,1.123650546670074,-0.0625001774006565,,,,,33.75457459773854,,,,,,,-0.0721634445841775,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-06 00:00:00+08:00,0.2756158113479614,0.2756158113479614,0.2725531754208816,0.2756158113479614,217320,0.0,-0.0721634445841775,,,,,33.75457459773854,,,,,,,-0.0721634445841775,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-07 00:00:00+08:00,0.2756159020294877,0.2756159020294877,0.2725532650947571,0.2725532650947571,206640,-1.1111649357946063,-0.0531906236845368,,,,,30.416742441536627,,,,,,,-0.0824732390494426,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-10 00:00:00+08:00,0.2725532650947571,0.2725532650947571,0.2725532650947571,0.2725532650947571,0,0.0,-0.0531906236845368,,,,,30.416742441536627,,,,,,,-0.0824732390494426,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-11 00:00:00+08:00,0.2694906062560425,0.2725532650947571,0.2694906062560425,0.2725532650947571,37560,0.0,-0.0531906236845368,,,,,30.416742441536627,,,,,,,-0.0824732390494426,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-12 00:00:00+08:00,0.2725532650947571,0.2725532650947571,0.2725532650947571,0.2725532650947571,36960,0.0,-0.0531906236845368,,,,,30.416742441536627,,,,,,,-0.0824732390494426,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-13 00:00:00+08:00,0.2786777314089413,0.2817403674125671,0.2725531822329392,0.2817403674125671,41760,3.3707548191051595,-0.0515456615381221,,,,,50.26193675493646,,,,,,,-0.0515456615381221,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
2020-02-14 00:00:00+08:00,0.2817403674125671,0.2817403674125671,0.2817403674125671,0.2817403674125671,0,0.0,-0.0416676634894039,,,,,50.26193675493646,,,,,,,-0.0515456615381221,,501259104,53.0,0.01,-0.005,0.049050003,2.04,1.1702,95.8,0.05992,Healthcare,Medical Care Facilities,QC7.SI
