Date,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE,Sector,Industry,Ticker
2020-01-02 00:00:00+08:00,1.3080483675003052,1.3221894172645292,1.300977842618193,1.3080483675003052,13149600,,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-03 00:00:00+08:00,1.3080483675003052,1.3080483675003052,1.2939073177360811,1.3080483675003052,5217300,0.0,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-06 00:00:00+08:00,1.3009778094384206,1.3009778094384206,1.2868367600348458,1.2939072847366333,12381600,-1.0810825589496864,,,,,,,,,,,,,-0.0108108255894968,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-07 00:00:00+08:00,1.300977842618193,1.3080483675003052,1.2939073177360811,1.3080483675003052,5957500,1.09289768521168,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-08 00:00:00+08:00,1.2939073177360811,1.315118892382417,1.286836792853969,1.3080483675003052,10990000,0.0,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-09 00:00:00+08:00,1.3080483675003052,1.3221894172645292,1.300977842618193,1.3080483675003052,9293900,0.0,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-10 00:00:00+08:00,1.3151189252053974,1.3292599753225565,1.308048400146818,1.322189450263977,12840200,1.0810825589496753,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-13 00:00:00+08:00,1.3221893140027623,1.3292598383326728,1.3151187896728516,1.3151187896728516,9064900,-0.534769097553589,,,,,,,,,,,,,-0.0053476909755359,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-14 00:00:00+08:00,1.3151189252053974,1.3292599753225565,1.3151189252053974,1.322189450263977,11797600,0.5376442528727265,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-15 00:00:00+08:00,1.322189450263977,1.3292599753225565,1.308048400146818,1.322189450263977,10758100,0.0,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-16 00:00:00+08:00,1.322189450263977,1.3292599753225565,1.3151189252053974,1.322189450263977,7537130,0.0,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-17 00:00:00+08:00,1.3292598724365234,1.3292598724365234,1.3151188234138955,1.3292598724365234,6871200,0.5347510654494236,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-20 00:00:00+08:00,1.3292598724365234,1.3292598724365234,1.308048298902582,1.3292598724365234,10534800,0.0,,,,,,,,,,,,,0.0,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-21 00:00:00+08:00,1.322189450263977,1.3292599753225565,1.308048400146818,1.322189450263977,7107500,-0.53190668876405,,,,,,59.402735566438224,,,,,,,-0.0053190668876405,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-22 00:00:00+08:00,1.322189450263977,1.3292599753225565,1.308048400146818,1.322189450263977,10069900,0.0,,,,,,59.402735566438224,,,,,,,-0.0053190668876405,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
2020-01-23 00:00:00+08:00,1.3292599421466411,1.3292599421466411,1.2939073177360811,1.3080483675003052,22787800,-1.069520163003013,,,,,,43.27230612257223,,,,,,,-0.0159573800248236,,4418172416,30.0,0.05,0.165,0.29666,5.61,1.2045,62.067,0.02769,Real Estate,REIT - Diversified,T82U.SI
