Ticker,Date,Sector,Industry,Open,High,Low,Price,Vol,Change%,Return_1M,Return_3M,Return_6M,Return_1Y,Volatility,RSI_14,SMA_50,SMA_200,Price_to_SMA50,Price_to_SMA200,Avg_Volume_3M,Volume_Trend,Max_Drawdown,Sharpe_Ratio,Market_Cap,PE_Ratio,EPS,Revenue_Growth,Profit_Margin,Dividend_Yield,Payout_Ratio,Debt_to_Equity,ROE
1D0.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Restaurants,0.3030866980552673,0.3030866980552673,0.2984944525476443,0.3030866980552673,186900,0.0,0.0153846737538603,0.0153846737538603,0.0312501204150754,0.1206355398055341,0.2012348941048703,58.73343344371028,0.2966575646400451,0.2870146246254443,1.021671901146438,1.0559974023999543,173311.11111111112,1.078407488139505,0.0,0.6660640904885902,491740960,13.166667,0.03,0.012,0.10325,5.13,0.7491,73.889,0.18847
1J4.SI,2024-12-30 00:00:00+08:00,Industrials,Aerospace & Defense,0.2849999964237213,0.2849999964237213,0.2849999964237213,0.2849999964237213,0,0.0,-0.0172413633637983,-0.0338982742636121,-0.0952380997433594,-0.1093749912688506,0.3891587863151831,58.08731495487682,0.281799994111061,0.3104749973118305,1.01135557977123,0.9179483014455976,9468.253968253968,0.0,-0.1857142820650217,-0.1009072108115862,121842088,29.5,0.01,-0.002,0.06427,3.12,0.0,20.776,0.045939997
42R.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Restaurants,0.2579592168331146,0.2579592168331146,0.2579592168331146,0.2579592168331146,2700,0.0,0.0,0.0,0.0999999936457873,0.0384895025357325,0.2144937468318629,54.7923087217408,0.2583344292640686,0.245387305766344,0.998547570945062,1.0512329316608635,65076.19047619047,0.0414898287721352,-0.0350876312897514,0.2822299012185665,168382528,28.0,0.01,-0.004,0.04551,2.68,0.7143,113.949,0.14774
546.SI,2024-12-30 00:00:00+08:00,Healthcare,Medical Instruments & Supplies,0.1389999985694885,0.1430000066757202,0.1379999965429306,0.1379999965429306,6170300,-0.7194259257909064,0.0375939487393344,-0.0416666494199512,0.0072992851575515,-0.2659574400628509,0.4004738179311572,51.74794956004997,0.1356000009179115,0.1389649998769163,1.0176990826605672,0.9930557814209298,2378314.285714286,2.594400595860213,-0.2774869277417726,-0.5771284178762016,64844440,35.95,-0.04,0.427,-0.28109,1.42,0.0,20.073,-0.16413
5DD.SI,2024-12-30 00:00:00+08:00,Technology,Semiconductor Equipment & Materials,1.5736212925152588,1.602060317993164,1.5736212925152588,1.602060317993164,8400,1.80723566970078,0.0242424113091621,0.0681050644134848,0.1023391162900992,-0.0698766849460732,0.3004638984133337,61.48552326110712,1.553053810596466,1.4591146165132522,1.0315549320070736,1.0979674248082714,16657.14285714286,0.5042881646655231,-0.1386050433730647,-0.091463045840769,276673472,19.9,0.1,0.145,0.19429001,3.16,0.6309,4.297,0.26204002
5OI.SI,2024-12-30 00:00:00+08:00,Consumer Cyclical,Restaurants,0.3300000131130218,0.3300000131130218,0.3300000131130218,0.3300000131130218,0,0.0,0.1,-0.0149253585286015,0.2084805649853782,0.007067137487815,0.6734742772167253,67.54965559156277,0.3133000069856643,0.2879892072081565,1.0533035612990638,1.1458763205473188,24328.571428571428,0.0,-0.1367995291476325,0.3512467429082427,22231836,15.5833345,-0.05,-0.152,-0.12401,2.68,0.0,172.475,-0.41544
9CI.SI,2024-12-30 00:00:00+08:00,Real Estate,Real Estate Services,2.502825616778731,2.5314841270446777,2.502825616778731,2.5314841270446777,7019200,1.532577821331671,-0.0328466269001599,-0.1506409261615816,0.003787857660048,-0.1047751026326969,0.2245543904127907,45.32545525259781,2.6384749746322638,2.587758402824402,0.959449739483507,0.9782536593376324,8675142.984126983,0.8091163468824799,-0.1587301499266114,-0.380879486112599,15163114496,101.333336,0.03,-0.246,0.06798,3.92,4.1379,61.735,0.01217
A17U.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Industrial,2.3593692779541016,2.3685496946434794,2.341008444575346,2.3593692779541016,6665600,0.0,-0.0265153948377903,-0.101398656008787,0.0367334392774816,-0.0917792071389579,0.1605259815270896,46.49015357783332,2.403986206054688,2.431004998683929,0.9814404392220664,0.9705324667087852,10967001.984126983,0.6077868873961554,-0.1346802280106396,-0.5195953085471449,12452271104,15.882353,0.17,0.063,0.4954,3.16,0.89419997,73.536,0.07369
A50.SI,2024-12-30 00:00:00+08:00,Healthcare,Medical Care Facilities,0.0469999983906745,0.0480000004172325,0.0460000000894069,0.0469999983906745,810000,0.0,0.0,-0.0600000461935996,-0.0600000461935996,-0.2033898626138208,0.2697975893897568,46.39450554672225,0.0477399989962577,0.0497399997897445,0.9844993585852142,0.944913522101884,2178506.3492063493,0.3718143857120686,-0.2295082317616672,-0.7086043089919973,1560022912,35.95,-0.0,0.069,-0.09567001,1.42,0.0,195.534,-0.07532
AIY.SI,2024-12-30 00:00:00+08:00,Technology,Software - Application,7.309764862060547,7.329574503734189,7.280050163400528,7.309764862060547,229600,0.0,-0.0027027760232376,0.0130723355638779,0.0056176005160832,-0.0758568753488213,0.2553331101635034,41.84014703249461,7.376627321243286,7.132418403625488,0.9909359038662304,1.0248648422455011,586004.7619047619,0.3918056898611258,-0.1079913383206923,-0.1821854097788549,2796934400,28.78125,0.32,0.457,0.19431,1.08,0.2313,41.919,0.28024
AJBU.SI,2024-12-30 00:00:00+08:00,Real Estate,REIT - Office,2.085391044616699,2.094913368823757,2.0663463962025834,2.085391044616699,2120800,0.4587206540525024,-0.0309733513251218,0.0269697493067151,0.2512724247494258,0.2233636737202309,0.232277457457466,51.245970776568896,2.100783157348633,1.8529860657453536,0.9926731549241092,1.125421870767205,8358989.095238095,0.2537148901424176,-0.055709870662121,0.9830971526144872,5646854144,12.157894,0.19,0.503,0.96932,4.48,0.3168,56.505,0.11354
AWX.SI,2024-12-30 00:00:00+08:00,Technology,Semiconductor Equipment & Materials,1.3799999952316284,1.409999966621399,1.3799999952316284,1.399999976158142,2500300,1.4492739851898806,0.0447760755858046,-0.0070921919858044,-0.2090395529692004,-0.58895343041793,0.4886041945891818,58.26462507036992,1.3464000010490418,1.669378576874733,1.0398098448212554,0.8386354033481739,3037770.015873016,0.8230708667658786,-0.5936781029776582,-1.5638613626646254,912361216,72.50001,0.04,0.311,0.03703,3.16,0.0,15.371,0.032780003
BN4.SI,2024-12-30 00:00:00+08:00,Industrials,Conglomerates,6.5185743590933,6.52811861038208,6.48994251541686,6.52811861038208,2333600,0.0,0.0163447878768441,0.0316742043939866,0.1032856021763899,0.0255414981739752,0.1618296222992474,57.83149021719622,6.331511297225952,6.209495952129364,1.03105219337479,1.0513121613588383,3146064.396825397,0.7417521403423174,-0.0309734845256798,0.2364694286011787,23652208640,23.428572,0.56,0.019,0.13373,2.61,0.6115,102.233,0.08948
BS6.SI,2024-12-30 00:00:00+08:00,Industrials,Aerospace & Defense,2.7737333400803377,2.811599969863892,2.7453333677426723,2.811599969863892,16635200,1.3651850143559408,0.2272726941593867,0.2122448946025743,0.2172131016404044,1.0846309202356386,0.3756951855467945,69.13768965166881,2.5058266639709474,2.2153736782073974,1.1220249230680586,1.2691312519967015,29535866.33333333,0.5632203170294684,0.0,2.141786399970868,16830585856,11.861111,0.36,-0.013,0.29413998,3.12,0.3393,21.725,0.30674
BVA.SI,2024-12-30 00:00:00+08:00,Healthcare,Medical Instruments & Supplies,0.3996421098709106,0.409389469193555,0.3996421098709106,0.3996421098709106,1728300,-1.2048214074427688,0.1714285215106363,0.322580626071965,0.2615384586438118,0.5769230362170676,0.5615899299451202,59.7282365249564,0.3494431674480438,0.30175416842103,1.1436540962854296,1.324396318904533,3565807.936507937,0.4846867892981799,-0.0465116394820527,1.071737600037277,1515395328,18.9,0.01,-0.003,0.04291,0.8,0.2791,17.861,0.027290002
