Feature,Importance
ROE,0.049343535397823525
Avg_Volume_3M,0.04691990576801195
SMA_50,0.04554632405104631
High,0.04273224454187586
Price,0.04258775755884726
Price_to_SMA50,0.038421307378526975
Max_Drawdown,0.03824938757992702
Profit_Margin,0.03780429070021661
Return_1M,0.03753983418703697
EPS,0.03732323297653752
Volume_Trend,0.03719842077633899
Low,0.03717133386443216
Open,0.036439135954163294
RSI_14,0.03604633624765024
Change%,0.036029924853750006
Return_3M,0.03582934902266651
Price_to_SMA200,0.03577096946571066
Return_6M,0.033183402678828154
SMA_200,0.032698212815070724
Return_1Y,0.03185467739197084
Volatility,0.03155876232764911
Dividend_Yield,0.03153250946219248
PE_Ratio,0.027169968624151875
Vol,0.027038088709222207
Sharpe_Ratio,0.026400634116912163
Debt_to_Equity,0.023125234676055966
Payout_Ratio,0.02237113558855269
Market_Cap,0.021990339518079657
Revenue_Growth,0.02012374376675234
