Feature,Mean_Abs_SHAP
EPS,0.02880883175496786
ROE,0.024545725723164893
SMA_50,0.019750974632515694
Profit_Margin,0.015372057731227629
Avg_Volume_3M,0.013593688296354727
High,0.01279466653692427
Price,0.011999742841523008
Low,0.011876166636796533
Open,0.009301029062173673
PE_Ratio,0.009226485904503205
Dividend_Yield,0.009176934413333004
SMA_200,0.008776087687743383
RSI_14,0.007844930169673553
Price_to_SMA200,0.00781780519283232
Return_1Y,0.007400001232805234
Volatility,0.007092522912746972
Price_to_SMA50,0.0070264059380942025
Market_Cap,0.006951013646763882
Max_Drawdown,0.006852594937975812
Sharpe_Ratio,0.006568729962729612
Return_3M,0.0063576524376813635
Payout_Ratio,0.006354166919873932
Return_1M,0.005357459263535929
Debt_to_Equity,0.005330126932584623
Return_6M,0.005284272736784427
Change%,0.004832051828153701
Revenue_Growth,0.004605244994365917
Volume_Trend,0.004518733238861389
Vol,0.003548455512237524
