Feature,SHAP_Importance,RF_Importance,SHAP_Norm,RF_Norm
EPS,0.02880883175496786,0.0373232329765375,1.0,0.7563955982404901
ROE,0.024545725723164893,0.0493435353978235,0.8520208640161944,1.0
SMA_50,0.019750974632515694,0.0455463240510463,0.685587489298652,0.9230454138285217
Profit_Margin,0.015372057731227629,0.0378042907002166,0.5335883753278832,0.7661447522036314
Avg_Volume_3M,0.013593688296354727,0.0469199057680119,0.4718583666278172,0.9508825297929807
High,0.01279466653692427,0.0427322445418758,0.4441230607942972,0.866015055414142
Price,0.011999742841523008,0.0425877575588472,0.4165300052284746,0.8630868707621163
Low,0.011876166636796533,0.0371713338644321,0.4122404802044283,0.7533171987930095
Open,0.009301029062173673,0.0364391359541632,0.3228533923653389,0.7384784178997134
PE_Ratio,0.009226485904503205,0.0271699686241518,0.3202658817607961,0.5506287379916892
Dividend_Yield,0.009176934413333004,0.0315325094621924,0.31854587132817397,0.6390403364486784
SMA_200,0.008776087687743383,0.0326982128150707,0.3046318490936383,0.6626645730073284
RSI_14,0.007844930169673553,0.0360463362476502,0.27230990261591415,0.7305179079089694
Price_to_SMA200,0.00781780519283232,0.0357709694657106,0.27136835187647623,0.7249373028769323
Return_1Y,0.007400001232805234,0.0318546773919708,0.2568657172823109,0.6455694172529008
Volatility,0.007092522912746972,0.0315587623276491,0.24619265970491572,0.6395723791011767
Price_to_SMA50,0.0070264059380942025,0.0384213073785269,0.2438976352063479,0.7786492611192515
Market_Cap,0.006951013646763882,0.0219903395180796,0.24128064983284972,0.44565796392144164
Max_Drawdown,0.006852594937975812,0.038249387579927,0.23786438118213993,0.7751651208521663
Sharpe_Ratio,0.006568729962729612,0.0264006341169121,0.22801098005638099,0.5350373438802403
Return_3M,0.0063576524376813635,0.0358293490226665,0.22068414615893045,0.7261204276061439
Payout_Ratio,0.006354166919873932,0.0223711355885526,0.220563158336964,0.4533752072726303
Return_1M,0.005357459263535929,0.0375398341870369,0.18596586314584163,0.760785255543176
Debt_to_Equity,0.005330126932584623,0.0231252346760559,0.18501711481811423,0.4686578391599386
Return_6M,0.005284272736784427,0.0331834026788281,0.18342544334076288,0.6724974692488652
Change%,0.004832051828153701,0.03602992485375,0.16772814216322574,0.7301853132992017
Revenue_Growth,0.004605244994365917,0.0201237437667523,0.1598553191443377,0.40782938645373074
Volume_Trend,0.004518733238861389,0.0371984207763389,0.15685235962691088,0.7538661442969831
Vol,0.003548455512237524,0.0270380887092222,0.12317248899291518,0.5479560491811624
