Ticker,Sector,Industry
D05.SI,Financial Services,Banks - Regional
O39.SI,Financial Services,Banks - Regional
U11.SI,Financial Services,Banks - Regional
Z74.SI,Communication Services,Telecom Services
C52.SI,Industrials,Railroads
C6L.SI,Industrials,Airlines
BN4.SI,Industrials,Conglomerates
U96.SI,Utilities,Utilities - Diversified
S63.SI,Industrials,Aerospace & Defense
F34.SI,Consumer Defensive,Packaged Foods
9CI.SI,Real Estate,Real Estate Services
J69U.SI,Real Estate,REIT - Retail
ME8U.SI,Real Estate,REIT - Industrial
M44U.SI,Real Estate,REIT - Industrial
S68.SI,Financial Services,Financial Data & Stock Exchanges
Y92.SI,Consumer Defensive,Beverages - Wineries & Distilleries
BS6.SI,Industrials,Aerospace & Defense
G13.SI,Consumer Cyclical,Resorts & Casinos
H78.SI,Real Estate,Real Estate - Development
V03.SI,Technology,Electronic Components
U14.SI,Real Estate,Real Estate - Development
C09.SI,Real Estate,Real Estate - Development
N2IU.SI,Real Estate,REIT - Office
D01.SI,Consumer Defensive,Grocery Stores
S58.SI,Industrials,Airports & Air Services
CC3.SI,Communication Services,Telecom Services
C07.SI,Industrials,Conglomerates
C38U.SI,Real Estate,REIT - Retail
A17U.SI,Real Estate,REIT - Industrial
M04.SI,Consumer Cyclical,Lodging
AWX.SI,Technology,Semiconductor Equipment & Materials
U10.SI,Financial Services,Capital Markets
BVA.SI,Healthcare,Medical Instruments & Supplies
QES.SI,Basic Materials,Specialty Chemicals
AIY.SI,Technology,Software - Application
1D0.SI,Consumer Cyclical,Restaurants
QC7.SI,Healthcare,Medical Care Facilities
5DD.SI,Technology,Semiconductor Equipment & Materials
A50.SI,Healthcare,Medical Care Facilities
546.SI,Healthcare,Medical Instruments & Supplies
F03.SI,Consumer Defensive,Beverages - Non-Alcoholic
P34.SI,Consumer Defensive,Confectioners
1J4.SI,Industrials,Aerospace & Defense
5OI.SI,Consumer Cyclical,Restaurants
42R.SI,Consumer Cyclical,Restaurants
OV8.SI,Consumer Defensive,Grocery Stores
K71U.SI,Real Estate,REIT - Office
T82U.SI,Real Estate,REIT - Diversified
AJBU.SI,Real Estate,REIT - Office
CMOU.SI,Real Estate,REIT - Office
C2PU.SI,Real Estate,REIT - Healthcare Facilities
E5H.SI,Consumer Defensive,Farm Products
C41.SI,Consumer Cyclical,Luxury Goods
U77.SI,Technology,Software - Application
P8Z.SI,Consumer Defensive,Farm Products
