Ticker,Sector,Industry
1D0.SI,Consumer Cyclical,Restaurants
1J4.SI,Industrials,Aerospace & Defense
42R.SI,Consumer Cyclical,Restaurants
546.SI,Healthcare,Medical Instruments & Supplies
5DD.SI,Technology,Semiconductor Equipment & Materials
5OI.SI,Consumer Cyclical,Restaurants
9CI.SI,Real Estate,Real Estate Services
A17U.SI,Real Estate,REIT - Industrial
A50.SI,Healthcare,Medical Care Facilities
AIY.SI,Technology,Software - Application
AJBU.SI,Real Estate,REIT - Office
AWX.SI,Technology,Semiconductor Equipment & Materials
BN4.SI,Industrials,Conglomerates
BS6.SI,Industrials,Aerospace & Defense
BVA.SI,Healthcare,Medical Instruments & Supplies
C07.SI,Industrials,Conglomerates
C09.SI,Real Estate,Real Estate - Development
C2PU.SI,Real Estate,REIT - Healthcare Facilities
C38U.SI,Real Estate,REIT - Retail
C41.SI,Consumer Cyclical,Luxury Goods
C52.SI,Industrials,Railroads
C6L.SI,Industrials,Airlines
CC3.SI,Communication Services,Telecom Services
CMOU.SI,Real Estate,REIT - Office
D01.SI,Consumer Defensive,Grocery Stores
D05.SI,Financial Services,Banks - Regional
E5H.SI,Consumer Defensive,Farm Products
F03.SI,Consumer Defensive,Beverages - Non-Alcoholic
F34.SI,Consumer Defensive,Packaged Foods
G13.SI,Consumer Cyclical,Resorts & Casinos
H78.SI,Real Estate,Real Estate - Development
J69U.SI,Real Estate,REIT - Retail
K71U.SI,Real Estate,REIT - Office
M04.SI,Consumer Cyclical,Lodging
M44U.SI,Real Estate,REIT - Industrial
ME8U.SI,Real Estate,REIT - Industrial
N2IU.SI,Real Estate,REIT - Office
O39.SI,Financial Services,Banks - Regional
OV8.SI,Consumer Defensive,Grocery Stores
P34.SI,Consumer Defensive,Confectioners
P8Z.SI,Consumer Defensive,Farm Products
QC7.SI,Healthcare,Medical Care Facilities
QES.SI,Basic Materials,Specialty Chemicals
S58.SI,Industrials,Airports & Air Services
S63.SI,Industrials,Aerospace & Defense
S68.SI,Financial Services,Financial Data & Stock Exchanges
T82U.SI,Real Estate,REIT - Diversified
U10.SI,Financial Services,Capital Markets
U11.SI,Financial Services,Banks - Regional
U14.SI,Real Estate,Real Estate - Development
U77.SI,Technology,Software - Application
U96.SI,Utilities,Utilities - Diversified
V03.SI,Technology,Electronic Components
Y92.SI,Consumer Defensive,Beverages - Wineries & Distilleries
Z74.SI,Communication Services,Telecom Services
